Eviction ID,File Date,Neighborhoods - Analysis Boundaries
11,2008,Portola
9,2002,Twin Peaks
30,2010,Oceanview/Merced/Ingleside
54,2012,Lone Mountain/USF
21,2021,Castro/Upper Market
1,2022,Seacliff
29,2005,Marina
1,2004,Seacliff
105,1998,Haight Ashbury
4,2001,Financial District/South Beach
15,2022,Portola
15,2007,Presidio Heights
118,1998,Marina
279,2001,Mission
7,2023,Pacific Heights
